model,2019,2020,2021
eng,659697.6941495999,802541.85815121,879497.2336886304
gb,637768.5098268203,781182.4196293729,829593.3780266587
lasso,641805.2966710281,792155.8676424993,822442.0435270723
linear,656715.2345567911,805186.1162064124,832738.6351883996
report,676405.22,803348.83,857909.68
ridge,645137.5797079534,793947.5174854782,822584.6246523915
