set,W_component_first_count,W_component_first_mean,W_component_first_std,port_frac_count,port_frac_mean,port_frac_std,Main.Bunker.Capacity..m3._count,Main.Bunker.Capacity..m3._mean,Main.Bunker.Capacity..m3._std,ME_W_ref_first_count,ME_W_ref_first_mean,ME_W_ref_first_std,v_over_v_ref_without_n_sum_count,v_over_v_ref_without_n_sum_mean,v_over_v_ref_without_n_sum_std,Draught..m._count,Draught..m._mean,Draught..m._std,v_over_v_ref_with_n_sum_count,v_over_v_ref_with_n_sum_mean,v_over_v_ref_with_n_sum_std,LOA..m._count,LOA..m._mean,LOA..m._std,cal_fc_count,cal_fc_mean,cal_fc_std,LBP..m._count,LBP..m._mean,LBP..m._std,Dwt_count,Dwt_mean,Dwt_std,t_m_times_v_n_sum_count,t_m_times_v_n_sum_mean,t_m_times_v_n_sum_std,trip_nunique_count,trip_nunique_mean,trip_nunique_std,t_over_t_ref_without_m_sum_count,t_over_t_ref_without_m_sum_mean,t_over_t_ref_without_m_sum_std,t_over_t_ref_with_m_sum_count,t_over_t_ref_with_m_sum_mean,t_over_t_ref_with_m_sum_std,NT_count,NT_mean,NT_std,total_jump_distance_count,total_jump_distance_mean,total_jump_distance_std,age_count,age_mean,age_std,LDT_count,LDT_mean,LDT_std,missing_frac_sea_count,missing_frac_sea_mean,missing_frac_sea_std,TPC_count,TPC_mean,TPC_std,distance_sum_count,distance_sum_mean,distance_sum_std,Beam.Mld..m._count,Beam.Mld..m._mean,Beam.Mld..m._std,GT_count,GT_mean,GT_std,Speed..knots._count,Speed..knots._mean,Speed..knots._std
Test,887,8.649647246659255e-05,2.7978242580010663e-05,887,0.418871782582109,0.1555864105243056,608,2490.3100493421052,1212.1855655544439,887,9575.908680947012,3637.1170552503168,887,983.3610048982247,711.2535068071949,887,12.74508455467869,2.6580888025058953,887,617.64749194147,494.14433055685623,887,205.008083427283,39.41040718823477,887,1210.0626499751486,974.2966154806368,887,198.3230214205186,39.32067190636134,887,67620.55693348365,45148.27340504803,887,7895118.640322435,5479843.747914148,887,7.207440811724916,9.82061629386081,887,1883.067027430632,1515.222558615048,887,2010.2996909398407,1598.1450164734113,885,22481.054237288135,14669.112836615059,887,1.0711013899436301,7.470395383598443,887,10.143179255918827,5.680231475040714,200,11611.155,5793.2758441148835,887,0.25719954076760615,0.16072348782408424,762,64.7738188976378,24.062840135985557,887,13751.10398454587,9622.663853846749,887,32.144272829763246,6.024958689289655,887,37674.62908680947,22206.260120376537,887,14.05553551296505,0.8338269633297914
Training,889,8.136388206823859e-05,1.547962420812558e-05,889,0.41575404046237613,0.13661416215083233,608,2410.600427631579,1098.707918885735,889,9505.611923509561,3055.9134368771793,889,964.8240485709296,611.5964793824513,889,12.780596175478067,2.227523061838283,889,718.1029072982266,462.6031716819573,889,205.52338582677166,31.69267640891511,889,1402.6749093180047,1006.1011072920871,889,199.1651968503937,31.480836688261068,889,65637.28233970754,38141.70500778708,889,9792868.764690664,6265776.785788946,889,5.96962879640045,7.2512953159038505,889,1569.1960342311613,1033.3840140412362,889,1690.984962341896,1106.9210286482582,888,21761.463963963964,12623.585615833497,889,1.5063739263554556,9.328100692593146,889,9.511811023622048,5.509014519245407,147,11644.52380952381,5701.907578342836,889,0.1871779646356441,0.1261327430881696,749,62.61891855807744,19.858034380166966,889,13792.847271829345,8769.160041149657,889,32.342609673790776,4.528664727926918,889,37030.35433070866,18523.008646825983,889,14.214668166479191,0.7484453309435243
