year,report_fc_count,report_fc_mean,report_fc_std,cal_fc_count,cal_fc_mean,cal_fc_std
2019,503,1342.7562425447315,938.0319453220226,503,1310.7605506801542,960.6674105870692
2020,633,1275.3589731437598,911.9804900585976,633,1278.0710577731627,932.9978319759088
2021,640,1299.7919218749998,911.0836652506715,640,1331.2062942955213,1077.6104887166787
