,cb,gb,lasso,linear,rf,ridge,mean,sd
distance_sum,1,1,1,7,2,7,3.1666666666666665,2.733536577809454
t_over_t_ref_with_m_sum,5,4,3,2,6,2,3.6666666666666665,1.4907119849998596
t_over_t_ref_without_m_sum,4,5,20,1,7,1,6.333333333333333,6.472162612982533
GT,15,8,2,3,9,3,6.666666666666667,4.570436400267363
cal_fc,3,3,20,9,1,9,7.5,6.370504951205464
v_over_v_ref_without_n_sum,2,2,20,10,5,10,8.166666666666666,6.229410530343586
rel_power_ship_sum,9,7,4,4,24,4,8.666666666666666,7.11024300256718
v_over_v_ref_with_n_sum,6,6,20,5,21,6,10.666666666666666,6.968181653455623
LBP..m.,7,17,20,6,12,5,11.166666666666666,5.6984403324262525
LOA..m.,14,11,20,8,14,8,12.5,4.153311931459037
ME_W_ref_first,16,18,6,12,11,12,12.5,3.8188130791298667
Dwt,18,10,20,11,8,11,13.0,4.396968652757639
Beam.Mld..m.,12,19,7,14,16,14,13.666666666666666,3.6817870057290873
NT,10,13,20,13,13,13,13.666666666666666,3.036811193048099
age,13,14,5,17,18,16,13.833333333333334,4.29793231940921
trip_nunique,11,12,9,19,22,17,15.0,4.654746681256314
rel_power_ship_cubed_sum,8,15,20,22,4,22,15.166666666666666,6.986097305044896
Draught..m.,17,9,20,21,3,21,15.166666666666666,6.841458583924597
port_frac,20,20,10,18,20,19,17.833333333333332,3.5784850922639815
TPC,21,24,8,20,15,20,18.0,5.196152422706632
Size.Category,19,21,20,15,25,15,19.166666666666668,3.4840908267278126
rel_power_ship_squared_sum,25,22,20,16,19,18,20.0,2.886751345948129
Main.Bunker.Capacity..m3.,22,16,20,26,10,27,20.166666666666668,5.842849380986035
missing_frac_sea,23,23,20,25,17,25,22.166666666666668,2.852873794770615
Speed..knots.,24,25,20,23,23,23,23.0,1.5275252316519468
total_jump_distance,27,27,11,24,27,24,23.333333333333332,5.676462121975467
LDT,26,26,20,28,26,28,25.666666666666668,2.68741924943285
ME_SFC_base_first,28,28,20,27,28,26,26.166666666666668,2.852873794770615
