model,class_name,mae,te,mse,mape,r2,params
gb,GradientBoostingRegressor,65.54670881329659,-9200.582934863907,10912.64679128483,0.04923435157824698,0.9888116114155593,"{'learning_rate': 0.1, 'loss': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'min_samples_split': 20, 'n_estimators': 2000, 'warm_start': True}"
rf,RandomForestRegressor,72.85157445606495,-18331.680769347335,12874.887059867262,0.056108482264100694,0.9867997890739373,"{'max_depth': 10, 'n_estimators': 200}"
cb,CatBoostRegressor,79.52548365140875,-12333.933756237137,14089.947371265302,0.05962120497705042,0.9855540265034571,{'verbose': 0}
ridge,Ridge,140.8287846951517,-22824.59437770286,48071.2145872351,0.11012243866093475,0.9507141174075611,{'alpha': 0.01}
linear,LinearRegression,140.8288987118007,-22818.374713832716,48071.01008363912,0.11012254033084558,0.9507143270785733,{}
lasso,Lasso,142.75227650405895,-46117.96944833254,52445.19425257898,0.11005340324438435,0.9462296156095745,{'alpha': 0.01}
