dataset,Draught..m._count,Draught..m._mean,Draught..m._std,Speed..knots._count,Speed..knots._mean,Speed..knots._std,ME_W_ref_first_count,ME_W_ref_first_mean,ME_W_ref_first_std,rel_power_ship_sum_count,rel_power_ship_sum_mean,rel_power_ship_sum_std,rel_power_ship_squared_sum_count,rel_power_ship_squared_sum_mean,rel_power_ship_squared_sum_std,rel_power_ship_cubed_sum_count,rel_power_ship_cubed_sum_mean,rel_power_ship_cubed_sum_std,ME_SFC_base_first_count,ME_SFC_base_first_mean,ME_SFC_base_first_std,cal_fe_count,cal_fe_mean,cal_fe_std
Test,535,12.713046728971964,2.4704737046824996,535,14.269065420560747,0.633875973983699,535,9612.166355140187,3453.688554766169,535,604.2388556299045,426.8741014755322,535,351.4305652284906,301.27545201670233,535,302.00568437464034,457.896518645297,535,176.00934579439252,3.2541973100922035,535,0.09891108232238109,0.03993140806482343
Training,1607,12.769085252022403,2.5624843170337415,1607,14.075706285003111,0.849059392157749,1607,9612.879278158058,3550.9591552009347,1607,602.2300153195555,454.7562182452615,1607,395.69114635781034,412.39030115769685,1607,374.4976982655519,699.1142029577626,1607,175.79651524579964,3.2516362856042753,1607,0.1058902443535136,0.051680740663922344
