set,Draught..m._count,Draught..m._mean,Draught..m._std,Speed..knots._count,Speed..knots._mean,Speed..knots._std,distance_sum_count,distance_sum_mean,distance_sum_std,ME_W_ref_first_count,ME_W_ref_first_mean,ME_W_ref_first_std,speed_mean_count,speed_mean_mean,speed_mean_std,draught_mean_count,draught_mean_mean,draught_mean_std,ME_SFC_base_first_count,ME_SFC_base_first_mean,ME_SFC_base_first_std
Test,535,16.008878504672897,1.8534391189376154,535,14.342841121495328,0.7900081560942066,535,13868.996107775016,8467.995432178574,535,13936.457943925234,3590.4766563066055,535,7.418235676790663,1.631882953977454,535,12.554001796653349,2.2515846015455807,535,175.13084112149534,1.9787452619751271
Training,1607,11.671841941505912,1.6592842212629564,1607,14.051144990665836,0.7969069617054924,1607,13821.498838163927,9340.457571947089,1607,8173.2426882389545,1996.960217850108,1607,6.733102582811451,1.7335761463123445,1607,9.268695043643708,1.3163744554504135,1607,176.08898568761668,3.546021488609163
