set,Draught..m._count,Draught..m._mean,Draught..m._std,Speed..knots._count,Speed..knots._mean,Speed..knots._std,ME_W_ref_first_count,ME_W_ref_first_mean,ME_W_ref_first_std,cal_fc_count,cal_fc_mean,cal_fc_std,rel_power_ship_sum_count,rel_power_ship_sum_mean,rel_power_ship_sum_std,rel_power_ship_squared_sum_count,rel_power_ship_squared_sum_mean,rel_power_ship_squared_sum_std,rel_power_ship_cubed_sum_count,rel_power_ship_cubed_sum_mean,rel_power_ship_cubed_sum_std,ME_SFC_base_first_count,ME_SFC_base_first_mean,ME_SFC_base_first_std
Test,536,9.823749999999999,0.794866664302065,536,13.829570895522387,0.8473364549348898,536,6532.66604477612,1424.3664820478384,536,1282.274770883412,1284.9965189787554,536,736.6694348340058,566.3807285064179,536,508.48123041634875,533.9930022405958,536,510.9591821240893,949.9807603840075,536,176.97761194029852,4.677192892316066
Training,1606,13.733418430884184,2.1363241398285,1606,14.222266500622665,0.7657966958667664,1606,10640.658156911582,3418.1837892405506,1606,1532.7978511893566,1290.2722863252304,1606,558.0302648253409,390.69244489446254,1606,343.3032908412707,314.61028822361806,1606,304.80493190203157,498.67413343947834,1606,175.47322540473226,2.501133536464935
