model,2019,2020,2021
eng,545168.4508139336,668954.6507061752,711236.3971323948
linear,486662.3154709151,525749.5694958591,594146.7798423343
linearstruct,486927.7774430349,525067.9161002099,594462.4037487721
report,493078.27999999997,515869.74,612778.15
