model,2019,2020,2021
cb,673026.0270920022,803748.9819202244,820874.9815573625
eng,659697.6941495999,802541.85815121,879497.2336886304
gb,669003.7460283795,804298.6495899267,824557.9947813696
lasso,612621.4421541503,774637.5220439741,843296.3754068392
linear,672311.9454671044,843411.9043950302,823944.7816521626
report,676405.22,803348.83,857909.68
rf,665050.3882389208,801004.6705037714,835245.611916797
ridge,637194.3362758022,797355.1741490163,842096.3796308695
