set,LDT_count,LDT_mean,LDT_std,Dwt_count,Dwt_mean,Dwt_std,Beam.Mld..m._count,Beam.Mld..m._mean,Beam.Mld..m._std,Draught..m._count,Draught..m._mean,Draught..m._std,LOA..m._count,LOA..m._mean,LOA..m._std,GT_count,GT_mean,GT_std,Main.Bunker.Capacity..m3._count,Main.Bunker.Capacity..m3._mean,Main.Bunker.Capacity..m3._std,TPC_count,TPC_mean,TPC_std,NT_count,NT_mean,NT_std,LBP..m._count,LBP..m._mean,LBP..m._std,Speed..knots._count,Speed..knots._mean,Speed..knots._std,distance_sum_count,distance_sum_mean,distance_sum_std,trip_nunique_count,trip_nunique_mean,trip_nunique_std,ME_W_ref_first_count,ME_W_ref_first_mean,ME_W_ref_first_std,t_over_t_ref_with_m_sum_count,t_over_t_ref_with_m_sum_mean,t_over_t_ref_with_m_sum_std,t_over_t_ref_without_m_sum_count,t_over_t_ref_without_m_sum_mean,t_over_t_ref_without_m_sum_std,v_over_v_ref_with_n_sum_count,v_over_v_ref_with_n_sum_mean,v_over_v_ref_with_n_sum_std,v_over_v_ref_without_n_sum_count,v_over_v_ref_without_n_sum_mean,v_over_v_ref_without_n_sum_std,cal_fc_count,cal_fc_mean,cal_fc_std,port_frac_count,port_frac_mean,port_frac_std,missing_frac_sea_count,missing_frac_sea_mean,missing_frac_sea_std,age_count,age_mean,age_std,total_jump_distance_count,total_jump_distance_mean,total_jump_distance_std,rel_power_ship_sum_count,rel_power_ship_sum_mean,rel_power_ship_sum_std,rel_power_ship_squared_sum_count,rel_power_ship_squared_sum_mean,rel_power_ship_squared_sum_std,rel_power_ship_cubed_sum_count,rel_power_ship_cubed_sum_mean,rel_power_ship_cubed_sum_std,ME_SFC_base_first_count,ME_SFC_base_first_mean,ME_SFC_base_first_std
Test,78,10907.551282051281,1147.4784399121706,536,65539.17910447762,7698.664422683672,536,32.31225746268657,0.44562791668736174,536,13.395000000000001,0.6338940623187688,536,205.14376865671642,14.138645666565745,536,36644.0802238806,3452.4148128927213,315,2494.601492063492,419.118073952924,457,62.900393873085335,4.125914818575126,536,21903.94589552239,2789.859763142551,536,199.53985074626866,13.147321548624092,536,14.134869402985075,0.663425535276165,536,12206.121555014197,7726.458998182617,536,5.236940298507463,4.08070650427094,536,9510.548507462687,1587.4137649630075,536,1491.3784531426886,953.8711148590994,536,1376.1617982703835,886.1050996569915,536,614.6926422778922,421.6289000661456,536,864.7379229411832,552.8461825269791,536,1310.1593914193077,1129.4106573103543,536,0.4004421675410377,0.13039971511569504,536,0.22223467284176782,0.1435184523467065,536,8.011194029850746,4.472957756897816,536,1.1869755606343284,8.464171114092569,536,524.2284607797986,359.51440419303896,536,322.3438977191412,273.874251045994,536,272.0062256219571,440.1772786441746,536,175.13059701492537,1.5533251694861914
Training,372,11929.833333333334,6457.736603240903,1606,68033.71108343711,50577.77336617678,1606,32.38675591531756,6.459325669033957,1606,12.541519302615193,2.878451263756312,1606,205.68436488169365,42.25014719362496,1606,38127.17061021171,24799.519514002506,1177,2479.3835174171622,1352.732691910766,1366,64.87065153733528,26.72073309954998,1603,22487.799126637554,16499.4222877965,1606,198.7074533001245,42.12005429139758,1606,14.120373599003736,0.8471243553463289,1606,14376.451056725688,9490.93788237988,1606,7.6376089663760895,9.999971601779968,1606,9646.794520547945,3967.5074017948655,1606,1914.1053699122615,1410.038214181035,1606,1789.5780482950004,1327.607811984841,1606,717.856434885081,534.4719234613644,1606,1027.84607644191,698.2655814262974,1606,1523.491402492445,1339.5290141459984,1606,0.4028370861327815,0.15111397651042785,1606,0.23182982517616815,0.15620876982583468,1606,10.532378580323785,5.710776625462903,1606,1.4908734934059777,9.195532824368954,1606,628.9321092170313,470.88377025525585,1606,405.4263358759551,417.2888375262458,1606,384.55510916550776,701.6989310857533,1606,176.08966376089663,3.6166014251201672
