model,mae,te,mse,mape,r2,class_name,params
rf,42.66290669830881,763.2503091733882,4009.1348935768106,0.04239321074985568,0.9933522752697471,RandomForestRegressor,"{'max_depth': 10, 'n_estimators': 200}"
cb,46.62685732052954,435.99324474523905,4693.266520262395,0.04610014837434204,0.9922178862171981,CatBoostRegressor,"{'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 1}"
gb,81.79646257198485,1652.9696754617269,15889.775691447943,0.07388043934598999,0.973652456795244,GradientBoostingRegressor,"{'learning_rate': 0.005, 'max_depth': 3}"
linear,100.2877098782504,1442.0352887427023,20819.893010358108,0.09823463553099211,0.9654776101777166,LinearRegression,{}
ridge,100.66195524873679,1424.6577400255305,20893.696583525263,0.09838115318296688,0.9653552331932679,Ridge,{'alpha': 0.01}
linearstruct,101.20083345321984,1132.9690794326038,22184.27937569476,0.09857984014812433,0.9632152605129548,LinearRegression,{'fit_intercept': False}
lasso,123.96502885431741,4427.284945917317,33711.848502238696,0.1181761630593772,0.9441008858669431,Lasso,{'alpha': 0.005}
eng,639.7133524231299,125360.21122580743,2284124.959106804,0.5153681328696372,-2.7874090996462715,Calculation,
