model,class_name,r2,rmse,mae,mape,params
gb,GradientBoostingRegressor,0.6858728947188171,0.0009165007010710058,0.008560206247143995,0.08414359637651575,"{'learning_rate': 0.01, 'max_depth': 4}"
linear,LinearRegression,0.4055851681154974,0.0017342712583223382,0.012885551249263036,0.12939412822852056,{}
ridge,Ridge,0.37142532353256275,0.001833936396995144,0.012362506950509267,0.12240346066614632,{'alpha': 100}
lasso,Lasso,0.28598906265833224,0.002083206172419418,0.012857115676187506,0.12305162678653771,{'alpha': 0.005}
