,cb,gb,lasso,linear,rf,ridge,mean,sd
distance_sum,1,1,1,7,2,7,3.1666666666666665,2.733536577809454
t_over_t_ref_with_m_sum,5,4,3,3,9,3,4.5,2.140872096444188
t_over_t_ref_without_m_sum,4,6,8,2,6,2,4.666666666666667,2.2110831935702664
cal_fc,2,2,10,10,1,10,5.833333333333333,4.179978734661485
GT,17,8,2,1,7,1,6.0,5.656854249492381
rel_power_ship_sum,7,5,4,6,23,6,8.5,6.551081335677848
NT,6,10,21,11,8,11,11.166666666666666,4.740487551109297
v_over_v_ref_without_n_sum,3,3,21,20,5,18,11.666666666666666,8.076027626390477
LOA..m.,8,11,21,8,14,8,11.666666666666666,4.714045207910317
Beam.Mld..m.,12,13,7,12,16,12,12.0,2.6457513110645907
LBP..m.,18,16,21,4,10,4,12.166666666666666,6.643710475998249
v_over_v_ref_with_n_sum,9,7,21,9,21,9,12.666666666666666,5.934831271588285
Dwt,19,14,21,5,12,5,12.666666666666666,6.182412330330469
ME_W_ref_first,16,18,6,13,11,13,12.833333333333334,3.804237403504442
Draught..m.,11,9,21,17,4,16,13.0,5.627314338711377
age,13,17,5,16,20,17,14.666666666666666,4.784233364802441
trip_nunique,15,12,11,18,17,19,15.333333333333334,2.981423969999719
port_frac,21,21,9,15,22,15,17.166666666666668,4.6338129248192805
rel_power_ship_cubed_sum,10,15,21,28,3,28,17.5,9.17877987534291
TPC,22,23,12,21,15,20,18.833333333333332,3.9756201472921875
Size.Category,14,26,21,14,26,14,19.166666666666668,5.42883249163411
Main.Bunker.Capacity..m3.,20,20,21,24,13,24,20.333333333333332,3.6817870057290873
Speed..knots.,24,22,13,22,19,22,20.333333333333332,3.590109871423003
rel_power_ship_squared_sum,25,19,21,19,24,21,21.5,2.29128784747792
missing_frac_sea,23,24,21,23,18,23,22.0,2.0
LDT,26,25,21,27,25,27,25.166666666666668,2.034425935955617
ME_SFC_base_first,28,27,21,25,28,25,25.666666666666668,2.4267032964268394
total_jump_distance,27,28,21,26,27,26,25.833333333333332,2.2669117514559076
