model,2019,2020,2021
eng,545168.4508139336,668954.6507061752,711236.3971323948
linear,498075.08987464546,523200.41850637307,590563.261247739
linearstruct,12178263852312.988,19287734837625.055,2477661005.0435867
report,493078.27999999997,515869.74,612778.15
