dataset,LDT_count,LDT_mean,LDT_std,Dwt_count,Dwt_mean,Dwt_std,Beam.Mld..m._count,Beam.Mld..m._mean,Beam.Mld..m._std,Draught..m._count,Draught..m._mean,Draught..m._std,LOA..m._count,LOA..m._mean,LOA..m._std,GT_count,GT_mean,GT_std,Main.Bunker.Capacity..m3._count,Main.Bunker.Capacity..m3._mean,Main.Bunker.Capacity..m3._std,TPC_count,TPC_mean,TPC_std,NT_count,NT_mean,NT_std,LBP..m._count,LBP..m._mean,LBP..m._std,Speed..knots._count,Speed..knots._mean,Speed..knots._std,trip_nunique_count,trip_nunique_mean,trip_nunique_std,ME_W_ref_first_count,ME_W_ref_first_mean,ME_W_ref_first_std,t_over_t_ref_with_m_sum_count,t_over_t_ref_with_m_sum_mean,t_over_t_ref_with_m_sum_std,t_over_t_ref_without_m_sum_count,t_over_t_ref_without_m_sum_mean,t_over_t_ref_without_m_sum_std,v_over_v_ref_with_n_sum_count,v_over_v_ref_with_n_sum_mean,v_over_v_ref_with_n_sum_std,v_over_v_ref_without_n_sum_count,v_over_v_ref_without_n_sum_mean,v_over_v_ref_without_n_sum_std,port_frac_count,port_frac_mean,port_frac_std,missing_frac_sea_count,missing_frac_sea_mean,missing_frac_sea_std,age_count,age_mean,age_std,total_jump_distance_count,total_jump_distance_mean,total_jump_distance_std,rel_power_ship_sum_count,rel_power_ship_sum_mean,rel_power_ship_sum_std,rel_power_ship_squared_sum_count,rel_power_ship_squared_sum_mean,rel_power_ship_squared_sum_std,rel_power_ship_cubed_sum_count,rel_power_ship_cubed_sum_mean,rel_power_ship_cubed_sum_std,ME_SFC_base_first_count,ME_SFC_base_first_mean,ME_SFC_base_first_std,cal_fe_count,cal_fe_mean,cal_fe_std
Test,90,11334.08888888889,5999.64480529996,535,60083.246728971964,35180.96946398581,535,31.478186915887846,4.5934982021099415,535,12.381009345794393,2.2570137271031316,535,200.38022429906542,30.997745978616553,535,34128.93644859813,17184.026167724267,379,2261.842506596306,965.6141101977602,457,60.55481400437637,18.972823697469025,534,19984.687265917604,11641.164035557798,535,193.80790654205606,31.08258387470912,535,14.0643738317757,0.5739125284615919,535,7.714018691588785,10.507108781366558,535,9065.27476635514,2932.208851098342,535,1903.2540490931817,1391.2319873601646,535,1771.3389770507995,1303.2028721069755,535,788.439814295468,527.5326944157529,535,1075.2685671620486,697.6478773810708,535,0.39962501549450885,0.13097916546963262,535,0.2181588313719766,0.13529828828022755,535,9.665420560747664,5.269357087971004,535,2.0609468112149534,11.43726042089706,535,685.0240199075405,458.5113362906425,535,442.3480119301403,336.2870028774953,535,385.0384617405348,448.0036030749509,535,175.6728971962617,2.507575417496021,535,0.10404074803112394,0.04229358338607129
Training,360,11857.275,5881.139173416078,1607,69848.53951462352,46286.58012906504,1607,32.664387056627255,5.864887230262224,1607,12.879626633478532,2.6154376178260845,1607,207.26990043559425,38.977898894523236,1607,38963.58556316117,22696.41979203064,1113,2557.7677987421384,1282.8245529414435,1366,65.65537335285505,24.36962640472616,1605,23125.628660436138,15069.075711649257,1607,200.61624144368386,38.703025445584274,1607,14.143851897946483,0.8676105722475866,1607,6.811449906658369,8.367488427918856,1607,9794.949595519602,3685.582733977024,1607,1776.7213184186194,1298.9292648976755,1607,1657.7590023102168,1223.8672076281402,1607,659.9485936766115,500.7063720156782,1607,957.6550354887901,656.0900099541906,1607,0.4031076408473435,0.15092994177186,1607,0.23318077728195777,0.15851663254844597,1607,9.980087118855009,5.620599166119117,1607,1.1997232028064717,8.044484762035257,1607,575.3351410889798,441.00278660713553,1607,365.4230480470558,402.06256340596804,1607,346.85455209831264,701.9184667443645,1607,175.9085252022402,3.464241204972966,1607,0.10418248383442372,0.05117113725030886
