model,2019,2020,2021
cb,907498.4901296657,937764.136482467,948180.1123250781
eng,951738.6065535047,1119502.0165243486,1077732.003125762
gb,908633.677504992,937345.3338224057,948581.8608986128
lasso,900620.1079512527,934743.2633910826,940049.692572058
linear,905283.0035272903,938864.7679136181,944938.8568280127
report,918483.4,922127.14,982486.35
rf,914815.4089865945,929390.2596407284,955322.4935081289
ridge,905281.6649734317,938863.3479517504,944937.3171793914
