set,Draught..m._count,Draught..m._mean,Draught..m._std,Speed..knots._count,Speed..knots._mean,Speed..knots._std,ME_W_ref_first_count,ME_W_ref_first_mean,ME_W_ref_first_std,cal_fc_count,cal_fc_mean,cal_fc_std,rel_power_ship_sum_count,rel_power_ship_sum_mean,rel_power_ship_sum_std,rel_power_ship_squared_sum_count,rel_power_ship_squared_sum_mean,rel_power_ship_squared_sum_std,rel_power_ship_cubed_sum_count,rel_power_ship_cubed_sum_mean,rel_power_ship_cubed_sum_std,ME_SFC_base_first_count,ME_SFC_base_first_mean,ME_SFC_base_first_std
Test,536,13.395000000000001,0.6338940623187688,536,14.134869402985075,0.663425535276165,536,9510.548507462687,1587.4137649630075,536,1310.1593914193077,1129.4106573103543,536,524.2284607797986,359.51440419303896,536,322.3438977191412,273.874251045994,536,272.0062256219571,440.1772786441746,536,175.13059701492537,1.5533251694861914
Training,1606,12.541519302615193,2.878451263756312,1606,14.120373599003736,0.8471243553463289,1606,9646.794520547945,3967.5074017948655,1606,1523.491402492445,1339.5290141459984,1606,628.9321092170313,470.88377025525585,1606,405.4263358759551,417.2888375262458,1606,384.55510916550776,701.6989310857533,1606,176.08966376089663,3.6166014251201672
