,gb,lasso,linear,ridge,mean,sd
distance_sum,1,1,1,1,1.0,0.0
LOA..m.,6,2,2,3,3.25,1.6393596310755
Draught..m.,4,6,3,2,3.75,1.479019945774904
HP.Total.Propulsion,5,3,7,6,5.25,1.479019945774904
Beam.Mld..m.,13,4,5,5,6.75,3.6314597615834874
NT,14,5,4,4,6.75,4.205650960315181
trip_nunique,3,8,11,10,8.0,3.082207001484488
Dwt,7,14,6,7,8.5,3.2015621187164243
age,9,7,10,9,8.75,1.0897247358851685
port_frac,8,10,13,13,11.0,2.1213203435596424
missing_frac_sea,12,9,12,11,11.0,1.224744871391589
LBP..m.,11,14,8,12,11.25,2.165063509461097
work_sum,2,14,15,15,11.5,5.5
Size.Category,17,14,9,8,12.0,3.6742346141747673
TPC,16,11,14,14,13.75,1.7853571071357126
longest_jump,10,14,17,17,14.5,2.8722813232690143
Speed..knots.,15,14,16,16,15.25,0.82915619758885
