dataset,Draught..m._count,Draught..m._mean,Draught..m._std,Speed..knots._count,Speed..knots._mean,Speed..knots._std,ME_W_ref_first_count,ME_W_ref_first_mean,ME_W_ref_first_std,speed_mean_count,speed_mean_mean,speed_mean_std,draught_mean_count,draught_mean_mean,draught_mean_std,ME_SFC_base_first_count,ME_SFC_base_first_mean,ME_SFC_base_first_std
Test,207,10.777391304347827,1.7642152072788402,207,14.336231884057971,1.0304897055999176,207,7390.236714975846,2244.663686402316,207,5.629412267501642,2.017218339150616,207,8.348612767237224,0.9116611097823021,207,177.8502415458937,6.468128541902692
Training,1935,12.966656330749354,2.518647688159935,1935,14.101297157622739,0.7738824360899422,1935,9850.45322997416,3555.6100403164305,1935,7.0406013427845835,1.6438786572694541,1935,10.275463076758074,2.1520273206471487,1935,175.63565891472868,2.604401208344176
