model,class_name,best_cv_mean_score,best_cv_std_score,best_params
linear,LinearRegression,-489.04908110876215,115.75613423729006,{}
linearstruct,LinearRegression,-51169556669.196106,64333176923.79627,{'fit_intercept': False}
