,cb,gb,lasso,linear,rf,ridge,mean,sd
distance_sum,1,1,1,5,1,5,2.3333333333333335,1.8856180831641267
GT,4,2,2,6,5,6,4.166666666666667,1.674979270186815
LOA..m.,2,4,7,4,6,4,4.5,1.6072751268321592
HP.Total.Propulsion,3,8,3,7,2,7,5.0,2.3804761428476167
Depth.Moulded..m.,7,7,11,3,8,2,6.333333333333333,3.0368111930480994
speed_mean,6,3,4,9,7,9,6.333333333333333,2.285218200133681
ME_W_ref_first,5,6,11,8,4,8,7.0,2.309401076758503
draught_mean,8,5,5,10,3,11,7.0,2.886751345948129
Beam.Mld..m.,9,10,11,2,12,3,7.833333333333333,3.890872509976251
cubic_meter,12,13,11,1,11,1,8.166666666666666,5.112620550059322
Dwt,10,9,11,11,10,10,10.166666666666666,0.6871842709362768
NT,11,11,11,13,9,13,11.333333333333334,1.3743685418725535
LDT,14,14,6,12,14,12,12.0,2.8284271247461903
Main.Bunker.Capacity..m3.,13,12,11,14,13,14,12.833333333333334,1.0671873729054748
