model,2019,2020,2021
eng,951738.6065535047,1119502.0165243486,1077732.003125762
gb,906620.035408502,952170.7577971071,975346.2563324589
lasso,901328.2669061964,944790.2109829023,957671.8802027048
linear,907315.6686022575,942305.4868613635,955872.4991936191
report,918483.4,922127.14,982486.35
ridge,906846.1016377808,942245.0403278159,957204.132639865
