model,2019,2020,2021
eng,951738.6065535047,1119502.0165243486,1077732.003125762
gb,909811.2528552739,936802.77897842,958274.1588164265
lasso,902767.3640518327,937197.5543196074,942325.6444326884
linear,907744.578218527,941231.2661086095,947341.061040889
report,918483.4,922127.14,982486.35
ridge,907743.5196367551,941230.1557225331,947339.8464581833
