year,report_fc_count,report_fc_mean,report_fc_std,cal_fc_count,cal_fc_mean,cal_fc_std
2019,747,1653.80562248996,1136.312568568427,747,1605.19809155928,1153.148885098451
2020,957,1564.2498746081503,1055.9820339072637,957,1557.2741394852985,1085.2223705025622
2021,996,1641.673142570281,1106.0621335481153,996,1686.1227407672702,1231.7848141778009
