model,class_name,r2,rmse,mae,mape,params
gb,GradientBoostingRegressor,0.5977105703287371,0.0011737240694244973,0.00821198317763869,0.07902418858486387,"{'learning_rate': 0.005, 'max_depth': 6}"
linear,LinearRegression,0.36562469302065936,0.001850860380444629,0.013067942850773655,0.1304781133416548,{}
ridge,Ridge,0.30025701037442176,0.002041577851065438,0.012301013212833221,0.11720545793641014,{'alpha': 1000}
lasso,Lasso,0.2869914690555345,0.0020802815404779252,0.012801977580649965,0.1224129801041743,{'alpha': 0.005}
