set,LDT_count,LDT_mean,LDT_std,Dwt_count,Dwt_mean,Dwt_std,Beam.Mld..m._count,Beam.Mld..m._mean,Beam.Mld..m._std,HP.Total.Propulsion_count,HP.Total.Propulsion_mean,HP.Total.Propulsion_std,LOA..m._count,LOA..m._mean,LOA..m._std,GT_count,GT_mean,GT_std,Main.Bunker.Capacity..m3._count,Main.Bunker.Capacity..m3._mean,Main.Bunker.Capacity..m3._std,NT_count,NT_mean,NT_std,Depth.Moulded..m._count,Depth.Moulded..m._mean,Depth.Moulded..m._std,distance_sum_count,distance_sum_mean,distance_sum_std,ME_W_ref_first_count,ME_W_ref_first_mean,ME_W_ref_first_std,speed_mean_count,speed_mean_mean,speed_mean_std,cubic_meter_count,cubic_meter_mean,cubic_meter_std,draught_mean_count,draught_mean_mean,draught_mean_std
Test,120,11481.325,5490.3546443174455,535,66492.45981308412,43135.816271471595,535,32.234822429906544,5.45359204687408,535,13072.94953271028,4691.85906025197,535,205.30633644859813,35.97753389241989,535,37339.7214953271,21229.876855123613,377,2447.81350132626,1179.678061329611,533,22009.050656660413,13892.235604720108,535,17.83955140186916,3.2653978347755164,535,14621.699874199245,9729.463040948003,535,9612.166355140187,3453.688554766169,535,6.684529466886676,1.6839659084270457,535,128667.2328929271,75222.3655285278,535,10.086773664038464,2.073195911440422
Training,330,11851.29696969697,6049.734996054222,1607,67714.79402613566,44257.85932777337,1607,32.41248911014312,5.645118734932118,1607,13072.854387056626,4822.484674245127,1607,205.62990665836963,37.68575745223175,1607,37894.65588052271,21661.383519193052,1115,2494.3571121076234,1229.2417505842545,1606,22451.826276463264,14504.561245087027,1607,17.88514623522091,3.372572319123455,1607,13570.909843119145,8907.074765814838,1607,9612.879278158058,3550.9591552009347,1607,6.97736694018459,1.7446336966484302,1607,130697.30465662351,76876.13826300483,1607,10.090080887420289,2.1649091670475986
