model,2019,2020,2021
cb,922252.1132872892,954015.6493465314,971889.0668601942
eng,951738.6065535047,1119502.0165243486,1077732.003125762
gb,925955.1017014331,956901.8758963732,966423.7432081208
lasso,940728.0598328756,985112.0295383842,988123.9488767942
linear,927548.5599358915,962224.6221605202,969977.2953430514
report,918483.4,922127.14,982486.35
rf,923897.7447143822,953380.7804577398,970344.6367655338
ridge,929173.5617627939,963922.3134080014,971617.7425475265
