,gb,lasso,linear,ridge,mean,sd
v_over_v_ref_without_n_sum,2,2,1,1,1.5,0.5
distance_sum,1,1,4,2,2.0,1.224744871391589
t_m_times_v_n_sum,5,7,2,3,4.25,1.920286436967152
LOA..m.,10,4,3,4,5.25,2.7726341266023544
t_over_t_ref_without_m_sum,4,3,12,7,6.5,3.5
Draught..m.,7,8,8,6,7.25,0.82915619758885
work_sum,6,19,5,5,8.75,5.931905258852336
NT,16,10,9,8,10.75,3.112474899497183
Beam.Mld..m.,19,5,11,9,11.0,5.0990195135927845
HP.Total.Propulsion,17,6,13,10,11.5,4.031128874149275
age,8,9,15,15,11.75,3.2691742076555053
W_component_first,11,13,10,13,11.75,1.299038105676658
cal_fc,3,11,18,18,12.5,6.18465843842649
LBP..m.,14,19,6,11,12.5,4.716990566028302
Dwt,12,19,7,12,12.5,4.272001872658765
trip_nunique,13,14,16,16,14.75,1.299038105676658
missing_frac_sea,15,12,17,17,15.25,2.0463381929681126
port_frac,9,19,20,19,16.75,4.493050188902857
Size.Category,22,19,14,14,17.25,3.418698582794336
TPC,20,15,19,20,18.5,2.0615528128088303
longest_jump,18,19,22,22,20.25,1.7853571071357126
Speed..knots.,21,19,21,21,20.5,0.8660254037844386
