set,LDT_count,LDT_mean,LDT_std,Dwt_count,Dwt_mean,Dwt_std,Beam.Mld..m._count,Beam.Mld..m._mean,Beam.Mld..m._std,Draught..m._count,Draught..m._mean,Draught..m._std,LOA..m._count,LOA..m._mean,LOA..m._std,GT_count,GT_mean,GT_std,Main.Bunker.Capacity..m3._count,Main.Bunker.Capacity..m3._mean,Main.Bunker.Capacity..m3._std,TPC_count,TPC_mean,TPC_std,NT_count,NT_mean,NT_std,LBP..m._count,LBP..m._mean,LBP..m._std,Speed..knots._count,Speed..knots._mean,Speed..knots._std,distance_sum_count,distance_sum_mean,distance_sum_std,trip_nunique_count,trip_nunique_mean,trip_nunique_std,ME_W_ref_first_count,ME_W_ref_first_mean,ME_W_ref_first_std,t_over_t_ref_with_m_sum_count,t_over_t_ref_with_m_sum_mean,t_over_t_ref_with_m_sum_std,t_over_t_ref_without_m_sum_count,t_over_t_ref_without_m_sum_mean,t_over_t_ref_without_m_sum_std,v_over_v_ref_with_n_sum_count,v_over_v_ref_with_n_sum_mean,v_over_v_ref_with_n_sum_std,v_over_v_ref_without_n_sum_count,v_over_v_ref_without_n_sum_mean,v_over_v_ref_without_n_sum_std,cal_fc_count,cal_fc_mean,cal_fc_std,port_frac_count,port_frac_mean,port_frac_std,missing_frac_sea_count,missing_frac_sea_mean,missing_frac_sea_std,age_count,age_mean,age_std,total_jump_distance_count,total_jump_distance_mean,total_jump_distance_std,rel_power_ship_sum_count,rel_power_ship_sum_mean,rel_power_ship_sum_std,rel_power_ship_squared_sum_count,rel_power_ship_squared_sum_mean,rel_power_ship_squared_sum_std,rel_power_ship_cubed_sum_count,rel_power_ship_cubed_sum_mean,rel_power_ship_cubed_sum_std,ME_SFC_base_first_count,ME_SFC_base_first_mean,ME_SFC_base_first_std
Test,135,13001.518518518518,6788.880734307718,536,83622.44776119402,56822.92976989699,536,34.11304104477612,7.321332260037351,536,13.52509328358209,3.0613375597658803,536,217.43169776119402,47.70335420631106,536,45641.51119402985,27913.12703578305,386,2939.778316062176,1460.1592455719017,451,74.36911308203992,29.9981994291225,536,27628.876865671642,18535.986349159066,536,210.28375,47.30656225175784,536,14.523264925373136,0.8100162527279059,536,12835.892839131016,8638.268754643092,536,6.475746268656716,8.63092513007271,536,10767.524253731342,4325.409500290701,536,1791.2930492927953,1309.5177900767947,536,1677.6781949405893,1238.3733754340606,536,505.89130790070675,363.1803523027625,536,891.1908405904261,606.4186725224843,536,1272.8993854232574,1123.7161817222686,536,0.3839530707982875,0.16576111003742305,536,0.2664892548019571,0.1760223249553346,536,10.647388059701493,5.867438477437268,536,1.645871242313433,9.21741328579358,536,443.1620351801374,320.8028176074412,536,215.2077177262457,193.08909857630053,536,183.30908266875858,353.7528970541276,536,176.28731343283582,4.411487496043087
Training,315,11217.403174603174,5402.180363601499,1606,61998.44831880448,37229.86112111252,1606,31.78574719800747,4.750472352533843,1606,12.49810087173101,2.283373591430637,1606,201.58328767123288,32.09913389075333,1606,35124.29202988792,18224.4261805411,1106,2323.0374683544305,1075.215540853531,1372,61.09206997084548,19.454886491664798,1603,20573.53649407361,12152.872367239617,1606,195.12169364881694,32.0680222373298,1606,13.990747198007472,0.7580702272116141,1606,14166.26587099305,9265.0049467634,1606,7.224159402241594,9.056599549437646,1606,9227.280821917808,3123.3513351581933,1606,1814.0093403129733,1328.344983741038,1606,1688.9474202655917,1247.334507037579,1606,754.1687108665077,536.8249029896701,1606,1019.0174563547405,685.1594024851223,1606,1535.926871492372,1338.912740657266,1606,0.4083402965027155,0.13855348302848264,1606,0.21705992733640386,0.14265469590086646,1606,9.65255292652553,5.399095605181938,1606,1.3377177739912829,8.950847264227509,1606,655.9879025678524,471.0773600481571,1606,441.1828691737086,419.10240889903736,1606,414.1576425546201,710.6906946660549,1606,175.70361145703612,2.746271224923097
