model,class_name,r2,mse,mae,mape,params
cb,CatBoostRegressor,0.9704132089346963,8.632274737807098e-05,0.007159464728872289,0.0771370641361807,"{'depth': 8, 'l2_leaf_reg': 1, 'learning_rate': 0.01}"
rf,RandomForestRegressor,0.8854862361225001,0.0003341066183450269,0.00415893927747402,0.037572135491090806,"{'max_depth': 30, 'n_estimators': 200}"
gb,GradientBoostingRegressor,0.6596347785757397,0.0009930533176253384,0.008685077598838303,0.08468077439322085,"{'learning_rate': 0.005, 'max_depth': 6}"
linear,LinearRegression,0.335123869900515,0.0019398499178098709,0.014694568301609662,0.14758952637452535,{}
ridge,Ridge,0.28536032942532374,0.0020850405714227228,0.011907250567254706,0.11569127689681868,{'alpha': 1000}
lasso,Lasso,0.2820911830943996,0.0020945786687528267,0.0126118667180868,0.12355700452489175,{'alpha': 0.005}
