class_name,mae,te,mse,mape,r2,params
GradientBoostingRegressor,0.00819411904406035,-0.5904308043008276,0.0008893821478189537,0.07898251091209281,0.6430221315690021,"{'learning_rate': 0.005, 'max_depth': 6}"
LinearRegression,0.0130823219719833,-0.6282855585885391,0.001368037370668649,0.13160124545253726,0.45090075653884854,{}
Lasso,0.013327440189103531,-0.9548168629839939,0.0016835012330761385,0.1301467699496638,0.32428070075585425,{'alpha': 0.005}
Ridge,0.012532660169391372,-0.7903352256774503,0.0015438292496861368,0.12397476468745657,0.3803418742709339,{'alpha': 1000}
RandomForestRegressor,0.004099729914472231,-0.29665113271259824,0.00023685706402621221,0.03721658084351274,0.904930934305066,"{'max_depth': 50, 'n_estimators': 1000}"
CatBoostRegressor,0.0014250543487723964,-0.023947842007945322,3.3641282201642117e-06,0.01510805096730166,0.9986497150588104,"{'depth': 8, 'l2_leaf_reg': 1, 'learning_rate': 0.05}"
