,gb,lasso,linear,ridge,mean,sd
v_over_v_ref_without_n_sum,2,2,1,1,1.5,0.5
distance_sum,1,1,2,2,1.5,0.5
t_m_times_v_n_sum,3,4,7,7,5.25,1.7853571071357126
LOA..m.,10,8,5,5,7.0,2.1213203435596424
t_over_t_ref_without_m_sum,5,5,9,9,7.0,2.0
work_sum,4,19,4,4,7.75,6.49519052838329
v_over_v_ref_with_n_sum,8,19,3,3,8.25,6.53356717268599
Dwt,12,3,10,10,8.75,3.418698582794336
HP.Total.Propulsion,14,6,8,8,9.0,3.0
LBP..m.,13,19,6,6,11.0,5.431390245600108
NT,15,7,13,13,12.0,3.0
t_over_t_ref_with_m_sum,6,19,12,12,12.25,4.602988159880492
age,11,9,18,17,13.75,3.832427429188973
ME_W_ref_first,16,19,11,11,14.25,3.418698582794336
W_component_first,18,12,16,15,15.25,2.165063509461097
port_frac,9,13,20,20,15.5,4.716990566028302
trip_nunique,19,11,17,16,15.75,2.947456530637899
missing_frac_sea,17,10,19,18,16.0,3.5355339059327378
Draught..m.,7,19,21,21,17.0,5.830951894845301
Size.Category,23,19,15,14,17.75,3.5619517121937516
Service.Speed..knots.,24,19,14,19,19.0,3.5355339059327378
Operational.Speed..knots.,20,19,22,23,21.0,1.5811388300841898
longest_jump,21,19,23,22,21.25,1.479019945774904
Speed..knots.,22,19,24,24,22.25,2.0463381929681126
