model,mae,te,mse,mape,r2,class_name,params
linear,211.5674400508304,9607.87607734092,107772.63449951085,0.19243673753910615,0.8885495603843905,LinearRegression,{}
linearstruct,217.9803919564869,-77800.84086218994,113647.58754327887,0.16937788355725353,0.8824741210811787,LinearRegression,{'fit_intercept': False}
eng,282.7769968656568,93788.97756735413,271188.5612038001,0.2120116928502686,0.7195569681928364,Calculation,
