r2,mse,mae,mape,class_name,params
0.9626724597815965,0.00010890724233682427,0.007878700972200822,0.08381181617196827,CatBoostRegressor,"{'depth': 6, 'l2_leaf_reg': 1, 'learning_rate': 0.01}"
0.8854594256991487,0.0003341848407313938,0.004149749996883274,0.03718273248619331,RandomForestRegressor,"{'max_depth': 30, 'n_estimators': 200}"
0.5977195760099557,0.0011736977943498168,0.008193130144494892,0.07872273945193,GradientBoostingRegressor,"{'learning_rate': 0.005, 'max_depth': 6}"
0.3656246930206607,0.0018508603804446252,0.01306794285077387,0.13047811334165824,LinearRegression,{}
0.30025701037442176,0.002041577851065438,0.012301013212833221,0.11720545793641014,Ridge,{'alpha': 1000}
0.2869867231396218,0.0020802953872144474,0.0128022748218119,0.12241633680521284,Lasso,{'alpha': 0.005}
0.013664495241456742,0.002877743328749861,0.019501538309638224,0.18642029066335788,Calculation,
