year,report_fe_count,report_fe_mean,report_fe_std,cal_fc_count,cal_fc_mean,cal_fc_std
2019,506,0.0997401976284585,0.032303674627142835,506,1303.7503836948615,936.9051833341298
2020,627,0.09723041467304626,0.06660296858330658,627,1279.971065631914,919.8525362656321
2021,644,0.10157947204968944,0.03436938589066658,644,1365.6789342991156,1097.5765209133306
