,cb,gb,lasso,linear,rf,ridge,mean,sd
v_over_v_ref_with_n_sum,2,1,7,3,1,3,2.8333333333333335,2.034425935955617
t_m_times_v_n_sum,1,3,1,6,6,6,3.8333333333333335,2.2669117514559076
ME_W_ref_first,3,2,3,7,4,7,4.333333333333333,1.9720265943665385
EU.distance,4,7,2,5,7,5,5.0,1.7320508075688772
W_component_first,5,4,5,16,3,15,8.0,5.354126134736337
t_over_t_ref_with_m_sum,6,8,6,14,2,17,8.833333333333334,5.112620550059322
work_sum,7,6,20,4,14,4,9.166666666666666,5.899623340142619
v_over_v_ref_without_n_sum,9,15,20,1,15,2,10.333333333333334,7.01585505994973
distance_sum,12,16,20,2,13,1,10.666666666666666,6.968181653455623
NT,18,10,4,8,18,8,11.0,5.259911279353167
HP.Total.Propulsion,8,5,20,11,10,12,11.0,4.618802153517006
Service.Speed..knots.,15,12,8,17,8,11,11.833333333333334,3.337497399083464
missing_frac_sea,10,13,9,18,9,18,12.833333333333334,3.890872509976251
age,11,9,10,19,11,19,13.166666666666666,4.179978734661485
Operational.Speed..knots.,13,11,11,21,5,21,13.666666666666666,5.734883511361751
Draught..m.,16,14,20,13,20,13,16.0,3.0
t_over_t_ref_without_m_sum,21,19,20,12,12,16,16.666666666666668,3.636237371545238
LOA..m.,17,21,20,10,24,10,17.0,5.354126134736337
Ballast.Cap..cu.m.,19,18,12,20,17,20,17.666666666666668,2.748737083745107
LBP..m.,24,22,20,9,23,9,17.833333333333332,6.361778227997438
trip_nunique,14,20,13,22,16,24,18.166666666666668,4.099457958749615
West.Coast.Africa.Deployment..Time.in.Last.12.Months....,20,23,14,23,19,22,20.166666666666668,3.131382371342656
Size.Category,25,25,20,15,25,14,20.666666666666668,4.714045207910317
Bale.Capacity..cu.m.,23,17,20,25,22,25,22.0,2.8284271247461903
Speed..knots.,22,24,20,24,21,23,22.333333333333332,1.4907119849998596
