model,class_name,r2,rmse,mae,mape,params
gb,GradientBoostingRegressor,0.9915273325581662,2.4719947816764793e-05,0.0035242772883737118,0.03763129318657812,"{'learning_rate': 0.1, 'loss': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'min_samples_split': 20, 'n_estimators': 2000, 'warm_start': True}"
linear,LinearRegression,0.4055851681154974,0.0017342712583223382,0.012885551249263036,0.12939412822852056,{}
ridge,Ridge,0.4055796303503777,0.001734287415366825,0.012885215704086855,0.12938963436920012,{'alpha': 0.01}
lasso,Lasso,0.20062221544598235,0.002332273425779508,0.01538177625587598,0.14943030615910494,{'alpha': 0.01}
