model,2019,2020,2021
eng,545168.4508139336,668954.6507061752,711236.3971323948
linear,1164451.6717556645,1264883.8917289106,938489.2402167476
linearstruct,542446420545516.3,2.684030724062125e+16,541393191183.65436
report,493078.27999999997,515869.74,612778.15
