model,2019,2020,2021
cb,924728.3248848313,948382.8142623978,966111.3620814872
eng,951738.6065535047,1119502.0165243486,1077732.003125762
gb,923767.1402944229,952161.3048104511,963148.6345494553
lasso,934621.7776751252,980284.3003550384,984195.3017742587
linear,923464.0402176003,957305.7392635553,965534.9678497424
report,918483.4,922127.14,982486.35
rf,925477.6197040733,949041.7464099291,968352.9919234002
ridge,930831.2588606648,967757.7438996045,975772.6550600857
