model,2019,2020,2021
cb,911038.0937494199,932389.4452104617,963186.920780859
eng,951738.6065535047,1119502.0165243486,1077732.003125762
gb,917526.5697776537,939386.5180444645,964140.6232303692
lasso,895114.3185962418,928033.5069414106,935121.9798337321
linear,894618.1492253556,926531.8611848797,932939.4755440262
report,918483.4,922127.14,982486.35
rf,925925.3666881843,948281.3183374251,984894.9313268113
ridge,900678.5155539624,932697.2883473244,940550.0313064881
