set,Draught..m._count,Draught..m._mean,Draught..m._std,Speed..knots._count,Speed..knots._mean,Speed..knots._std,distance_sum_count,distance_sum_mean,distance_sum_std,ME_W_ref_first_count,ME_W_ref_first_mean,ME_W_ref_first_std,speed_mean_count,speed_mean_mean,speed_mean_std,draught_mean_count,draught_mean_mean,draught_mean_std,ME_SFC_base_first_count,ME_SFC_base_first_mean,ME_SFC_base_first_std
Test,536,13.395000000000001,0.6338940623187688,536,14.134869402985075,0.663425535276165,536,12206.121555014197,7726.458998182617,536,9510.548507462687,1587.4137649630075,536,7.012409949217067,1.5433502424219288,536,10.360327449611159,1.0667248787836439,536,175.13059701492537,1.5533251694861914
Training,1606,12.541519302615193,2.878451263756312,1606,14.120373599003736,0.8471243553463289,1606,14376.451056725688,9490.93788237988,1606,9646.794520547945,3967.5074017948655,1606,6.868119679253212,1.7920320392747489,1606,9.998784796608593,2.389091993745555,1606,176.08966376089663,3.6166014251201672
