model,class_name,mae,te,mse,mape,r2,params
gb,GradientBoostingRegressor,76.24919852459692,-13144.543063961983,14469.870075094721,0.06090180179972888,0.9844599356811182,"{'learning_rate': 0.1, 'loss': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'min_samples_split': 20, 'n_estimators': 2000, 'warm_start': True}"
cb,CatBoostRegressor,89.23920869790447,-18016.88038778356,17101.665960882572,0.07120261397872261,0.981633491689081,{'verbose': 0}
rf,RandomForestRegressor,105.76520647385772,-34005.72980677204,29325.9769632201,0.07836465225451864,0.968505068403698,"{'max_depth': 10, 'n_estimators': 200}"
ridge,Ridge,165.89495200697942,-55134.21117721016,68568.97543349164,0.12946015591184826,0.9263596505714092,{'alpha': 0.01}
linear,LinearRegression,165.90268737383155,-55064.873333201984,68564.82106568207,0.12946968218064414,0.9263641121970236,{}
lasso,Lasso,199.2030213699814,-94137.57804020168,111839.4821505852,0.15057023686598323,0.8798888492439247,{'alpha': 0.01}
