year,report_fc_count,report_fc_mean,report_fc_std,cal_fc_count,cal_fc_mean,cal_fc_std
2019,585,1388.7282051282052,931.6818928512066,585,1440.1230323673635,1218.8858020406637
2020,671,1311.0428763040238,950.5876381254586,671,1402.4215237186074,1291.7773244444509
2021,692,1334.243020231214,932.1318304520049,692,1382.5624686050767,1134.7959186596588
