model,2019,2020,2021
eng,951738.6065535047,1119502.0165243486,1077732.003125762
gb,910136.2283513926,935016.072619407,969115.0747116396
lasso,897992.0896569488,940293.3989461026,953915.8021573811
linear,907713.4284528487,942399.0415854249,957047.6721100674
report,918483.4,922127.14,982486.35
ridge,907719.9818258188,942174.0053496759,957063.4730670799
