model,2019,2020,2021
eng,545168.4508139336,668954.6507061752,711236.3971323948
gb,470906.70755918836,512221.84771080123,599559.4057591821
lasso,484151.1313480515,527851.5982134888,591462.9441531206
linear,486662.3154709151,525749.5694958591,594146.7798423343
report,493078.27999999997,515869.74,612778.15
ridge,487136.7517371684,525925.3402027253,593939.9526437132
