dataset,LDT_count,LDT_mean,LDT_std,Dwt_count,Dwt_mean,Dwt_std,Beam.Mld..m._count,Beam.Mld..m._mean,Beam.Mld..m._std,Draught..m._count,Draught..m._mean,Draught..m._std,LOA..m._count,LOA..m._mean,LOA..m._std,GT_count,GT_mean,GT_std,Main.Bunker.Capacity..m3._count,Main.Bunker.Capacity..m3._mean,Main.Bunker.Capacity..m3._std,TPC_count,TPC_mean,TPC_std,NT_count,NT_mean,NT_std,LBP..m._count,LBP..m._mean,LBP..m._std,Speed..knots._count,Speed..knots._mean,Speed..knots._std,distance_sum_count,distance_sum_mean,distance_sum_std,trip_nunique_count,trip_nunique_mean,trip_nunique_std,ME_W_ref_first_count,ME_W_ref_first_mean,ME_W_ref_first_std,t_over_t_ref_with_m_sum_count,t_over_t_ref_with_m_sum_mean,t_over_t_ref_with_m_sum_std,t_over_t_ref_without_m_sum_count,t_over_t_ref_without_m_sum_mean,t_over_t_ref_without_m_sum_std,v_over_v_ref_with_n_sum_count,v_over_v_ref_with_n_sum_mean,v_over_v_ref_with_n_sum_std,v_over_v_ref_without_n_sum_count,v_over_v_ref_without_n_sum_mean,v_over_v_ref_without_n_sum_std,cal_fc_count,cal_fc_mean,cal_fc_std,port_frac_count,port_frac_mean,port_frac_std,missing_frac_sea_count,missing_frac_sea_mean,missing_frac_sea_std,age_count,age_mean,age_std,total_jump_distance_count,total_jump_distance_mean,total_jump_distance_std,rel_power_ship_sum_count,rel_power_ship_sum_mean,rel_power_ship_sum_std,rel_power_ship_squared_sum_count,rel_power_ship_squared_sum_mean,rel_power_ship_squared_sum_std,rel_power_ship_cubed_sum_count,rel_power_ship_cubed_sum_mean,rel_power_ship_cubed_sum_std,ME_SFC_base_first_count,ME_SFC_base_first_mean,ME_SFC_base_first_std
Test,65,8900.061538461538,1877.219152404387,299,43886.50836120401,14984.515796653715,299,29.934882943143815,2.9863512061578015,299,11.22581939799331,1.5119034119298116,299,184.8661204013378,15.907555009325492,299,26441.939799331103,7616.735401132191,209,1856.956889952153,703.1563925411835,252,51.57214285714286,8.702241008907997,299,14594.916387959865,4910.476082015468,299,178.45150501672242,16.58780453033854,299,13.576755852842808,0.8473031698681703,299,12967.285411721221,9524.336722450425,299,7.6923076923076925,11.198887215166867,299,7741.959866220735,1955.7993486918867,299,1655.2161544615267,1369.9946102803224,299,1535.7055717980536,1290.0476654520867,299,818.6864521882421,690.3104484844146,299,968.3149997050502,750.4083363892621,299,1441.6968374675805,1691.4379829199293,299,0.43233035672394293,0.14271085529573932,299,0.2021314670184362,0.13961478422965296,299,9.645484949832776,5.459558886685704,299,0.739722253277592,7.07476588225165,299,713.1104111258712,614.0660787914212,299,582.5857143730046,668.846789189359,299,638.8251705447325,1211.222892464933,299,175.80267558528428,3.0693100133678732
Training,385,12234.241558441558,6207.480399295949,1843,71225.75908844276,45900.209835323505,1843,32.762870320130226,5.818396921316762,1843,13.003190450352687,2.585353030679194,1843,208.9046011937059,38.62485546942011,1843,39591.60227889311,22500.92329884426,1283,2584.512766952455,1251.8893531410902,1571,66.43068746021642,24.164321636744532,1840,23600.313586956523,14974.526360909847,1843,202.2357731958763,38.37536416074386,1843,14.21278350515464,0.7619206902489268,1843,13973.870435422908,9057.464721748216,1843,6.9305480195333695,8.535584012444392,1843,9916.201844818232,3629.414887421197,1843,1833.1646471945614,1314.3759593129591,1843,1710.5312552724245,1235.9607745919166,1843,671.4950849061887,471.95507557319,1843,990.0673578678088,654.4082066473967,1843,1474.717998806733,1216.914760456117,1843,0.39735571647899315,0.14619028866218484,1843,0.2338573929666854,0.15482281984929072,1843,9.943027672273468,5.547985221131347,1843,1.524354192718394,9.291018831572503,1843,584.8244218415025,412.1071005587242,1843,352.5219186091781,308.6278138875274,1843,310.5708715465543,485.46619254926304,1843,175.85729788388497,3.2823574510083287
