model,class_name,r2,rmse,mae,mape,params
gb,GradientBoostingRegressor,0.9957333560157102,1.2448407466530755e-05,0.002515551065607524,0.027007149239500174,"{'learning_rate': 0.1, 'loss': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'min_samples_split': 20, 'n_estimators': 2000, 'warm_start': True}"
linear,LinearRegression,0.6429793818816774,0.0010416472864045053,0.013742255428223459,0.14195981674192887,{}
ridge,Ridge,0.636661870140756,0.0010600793282189039,0.013518077497315914,0.1393162072748641,{'alpha': 0.01}
lasso,Lasso,0.20060618679958098,0.0023323201911347323,0.015379331089862464,0.14938541641614905,{'alpha': 0.01}
