model,class_name,r2,rmse,mae,mape,params
linear,LinearRegression,0.6429793818816774,0.0010416472864045053,0.013742255428223459,0.14195981674192887,{}
gb,GradientBoostingRegressor,0.5706359753104502,0.0012527172059552086,0.008532094051706884,0.08285411413044554,"{'learning_rate': 0.005, 'max_depth': 5}"
ridge,Ridge,0.39569152379339334,0.001763137063930673,0.012293188648424153,0.1218783057614626,{'alpha': 100}
lasso,Lasso,0.2584100140457868,0.002163671108311034,0.013172832113541883,0.12587782200634284,{'alpha': 0.005}
