model,2019,2020,2021
cb,910566.8422779038,946745.8400825378,959786.9430723736
eng,951738.6065535047,1119502.0165243486,1077732.003125762
gb,912294.1919479412,947234.2508624565,960731.5934230371
lasso,927615.834026776,971048.3182383598,974004.8074894878
linear,912928.9890143021,949117.650101244,953435.9882745456
report,918483.4,922127.14,982486.35
rf,913243.1925404575,944269.0523636359,963546.9660940878
ridge,919107.1089545572,956087.1610137977,957305.5411118125
