model,2019,2020,2021
cb,919616.6511303198,943917.1758136826,971693.0096220442
eng,951738.6065535047,1119502.0165243486,1077732.003125762
gb,915206.9168173615,941666.5742881189,962450.0774355272
lasso,897639.8717438724,932731.3026574976,937904.0078667076
linear,901877.8399259576,936803.630433846,942578.1613904603
report,918483.4,922127.14,982486.35
rf,926775.0385806317,950770.4864608971,980955.8799397623
ridge,901876.6068867014,936802.2876496678,942576.7074095863
