set,LDT_count,LDT_mean,LDT_std,Dwt_count,Dwt_mean,Dwt_std,Beam.Mld..m._count,Beam.Mld..m._mean,Beam.Mld..m._std,Draught..m._count,Draught..m._mean,Draught..m._std,LOA..m._count,LOA..m._mean,LOA..m._std,GT_count,GT_mean,GT_std,Main.Bunker.Capacity..m3._count,Main.Bunker.Capacity..m3._mean,Main.Bunker.Capacity..m3._std,TPC_count,TPC_mean,TPC_std,NT_count,NT_mean,NT_std,LBP..m._count,LBP..m._mean,LBP..m._std,Speed..knots._count,Speed..knots._mean,Speed..knots._std,distance_sum_count,distance_sum_mean,distance_sum_std,trip_nunique_count,trip_nunique_mean,trip_nunique_std,ME_W_ref_first_count,ME_W_ref_first_mean,ME_W_ref_first_std,t_over_t_ref_with_m_sum_count,t_over_t_ref_with_m_sum_mean,t_over_t_ref_with_m_sum_std,t_over_t_ref_without_m_sum_count,t_over_t_ref_without_m_sum_mean,t_over_t_ref_without_m_sum_std,v_over_v_ref_with_n_sum_count,v_over_v_ref_with_n_sum_mean,v_over_v_ref_with_n_sum_std,v_over_v_ref_without_n_sum_count,v_over_v_ref_without_n_sum_mean,v_over_v_ref_without_n_sum_std,cal_fc_count,cal_fc_mean,cal_fc_std,port_frac_count,port_frac_mean,port_frac_std,missing_frac_sea_count,missing_frac_sea_mean,missing_frac_sea_std,age_count,age_mean,age_std,total_jump_distance_count,total_jump_distance_mean,total_jump_distance_std,rel_power_ship_sum_count,rel_power_ship_sum_mean,rel_power_ship_sum_std,rel_power_ship_squared_sum_count,rel_power_ship_squared_sum_mean,rel_power_ship_squared_sum_std,rel_power_ship_cubed_sum_count,rel_power_ship_cubed_sum_mean,rel_power_ship_cubed_sum_std,ME_SFC_base_first_count,ME_SFC_base_first_mean,ME_SFC_base_first_std
Test,120,11481.325,5490.3546443174455,535,66492.45981308412,43135.816271471595,535,32.234822429906544,5.45359204687408,535,12.713046728971964,2.4704737046824996,535,205.30633644859813,35.97753389241989,535,37339.7214953271,21229.876855123613,377,2447.81350132626,1179.678061329611,464,62.674224137931034,21.384387742873518,533,22009.050656660413,13892.235604720108,535,198.63407476635513,35.85729304672334,535,14.269065420560747,0.633875973983699,535,14621.699874199245,9729.463040948003,535,7.405607476635514,7.683703165793101,535,9612.166355140187,3453.688554766169,535,1955.1733539509555,1394.8270917842763,535,1823.0252019884651,1310.654936610318,535,692.8231886492133,485.4570350085471,535,1034.6233996910757,698.5479201865178,535,1474.9742479526603,1227.1956448799215,535,0.41475760513412335,0.1437477280320522,535,0.24536975924893734,0.15157386611683654,535,10.506542056074766,5.638904305408106,535,1.0037442644859813,7.296603124199818,535,604.2388556299045,426.8741014755322,535,351.4305652284906,301.27545201670233,535,302.00568437464034,457.896518645297,535,176.00934579439252,3.2541973100922035
Training,330,11851.29696969697,6049.734996054222,1607,67714.79402613566,44257.85932777337,1607,32.41248911014312,5.645118734932118,1607,12.769085252022403,2.5624843170337415,1607,205.62990665836963,37.68575745223175,1607,37894.65588052271,21661.383519193052,1115,2494.3571121076234,1229.2417505842545,1359,64.95802060338484,23.814579440830137,1606,22451.826276463264,14504.561245087027,1607,199.00952084629745,37.45930547549913,1607,14.075706285003111,0.849059392157749,1607,13570.909843119145,8907.074765814838,1607,6.914125700062228,9.339992524903897,1607,9612.879278158058,3550.9591552009347,1607,1759.436422277419,1295.4971865117493,1607,1640.5517027821202,1219.1295179885665,1607,691.7811355065718,518.6567551023495,1607,971.1865629293442,657.6379545565362,1607,1468.4887389850292,1314.8271566519895,1607,0.3980697220811993,0.14678863038290532,1607,0.22412175648906793,0.15335783419637877,1607,9.700062227753579,5.487528597484027,1607,1.5516854694523958,9.51927008763671,1607,602.2300153195555,454.7562182452615,1607,395.69114635781034,412.39030115769685,1607,374.4976982655519,699.1142029577626,1607,175.79651524579964,3.2516362856042753
