set,Draught..m._count,Draught..m._mean,Draught..m._std,Speed..knots._count,Speed..knots._mean,Speed..knots._std,distance_sum_count,distance_sum_mean,distance_sum_std,ME_W_ref_first_count,ME_W_ref_first_mean,ME_W_ref_first_std,speed_mean_count,speed_mean_mean,speed_mean_std,draught_mean_count,draught_mean_mean,draught_mean_std,ME_SFC_base_first_count,ME_SFC_base_first_mean,ME_SFC_base_first_std
Test,535,11.797009345794391,0.9057587451451264,535,14.189252336448599,0.8211172403191888,535,13798.66189587244,9274.009565753922,535,8477.080373831775,1687.3215458666812,535,7.005587314839458,1.727175188418239,535,9.301059934745812,0.9067403144037404,535,176.15887850467288,3.429737579391223
Training,1607,13.074051026757934,2.8135547119162836,1607,14.102277535780958,0.7986049730628083,1607,13844.914397198076,9082.36094253529,1607,9990.770379589298,3880.2198714092847,1607,6.8704808489246405,1.7353984755646608,1607,10.35165950918231,2.3593959340269626,1607,175.74673304293714,3.186201604623016
