model,2019,2020,2021
cb,669434.2611665775,816394.4775288763,832516.8288739542
eng,659697.6941495999,802541.85815121,879497.2336886304
gb,673562.486192702,819466.0224722029,860559.7715572965
lasso,675962.8490494158,845950.4859091616,864076.008033576
linear,652720.459399543,832490.8465368225,866841.5053792226
report,676405.22,803348.83,857909.68
rf,673828.2703749618,814548.6750149521,836761.8819856592
ridge,662735.0620208923,828383.8609417061,853836.2398097847
