,cb,gb,lasso,linear,rf,ridge,mean,sd
distance_sum,1,1,1,2,2,2,1.5,0.5
GT,10,8,2,1,6,1,4.666666666666667,3.5433819375782165
cal_fc,3,3,6,10,1,10,5.5,3.5
v_over_v_ref_without_n_sum,2,2,19,13,4,8,8.0,6.244997998398398
t_over_t_ref_without_m_sum,5,4,3,5,8,24,8.166666666666666,7.243771270700243
t_over_t_ref_with_m_sum,4,5,19,6,9,9,8.666666666666666,4.988876515698588
rel_power_ship_sum,6,7,7,7,24,5,9.333333333333334,6.599663291074443
v_over_v_ref_with_n_sum,7,6,19,3,22,6,10.5,7.22841614740048
Draught..m.,12,9,19,12,3,11,11.0,4.725815626252608
LBP..m.,13,16,19,4,14,3,11.5,5.9651767227244274
age,9,12,4,15,19,13,12.0,4.69041575982343
LOA..m.,15,11,19,9,12,7,12.166666666666666,3.9334745737353156
ME_W_ref_first,17,18,5,14,10,12,12.666666666666666,4.384315479321969
Dwt,24,15,19,8,7,4,12.833333333333334,7.104380495315706
rel_power_ship_cubed_sum,8,13,19,27,5,19,15.166666666666666,7.403077438170937
trip_nunique,14,10,19,19,13,17,15.333333333333334,3.299831645537222
NT,20,17,19,11,11,15,15.5,3.547299442298794
Beam.Mld..m.,11,20,19,17,16,18,16.833333333333332,2.9107081994288304
TPC,18,22,8,21,15,22,17.666666666666668,4.988876515698588
rel_power_ship_squared_sum,23,14,19,16,23,14,18.166666666666668,3.8042374035044424
Speed..knots.,21,21,11,22,17,20,18.666666666666668,3.7712361663282534
missing_frac_sea,22,23,10,20,21,21,19.5,4.349329450233296
Size.Category,19,24,19,18,26,16,20.333333333333332,3.4960294939005054
port_frac,16,19,19,24,18,27,20.5,3.774917217635375
LDT,26,26,9,23,25,23,22.0,5.94418483337567
Main.Bunker.Capacity..m3.,25,25,19,25,20,25,23.166666666666668,2.608745973749755
total_jump_distance,27,28,19,26,27,26,25.5,2.9860788111948193
ME_SFC_base_first,28,27,28,28,28,28,27.833333333333332,0.372677996249965
