model,class_name,mae,te,mse,mape,r2,params
cb,CatBoostRegressor,38.295159723081866,-5841.626338512915,3093.187140664665,0.031809490480700024,0.9964831453213677,"{'depth': 6, 'l2_leaf_reg': 1, 'learning_rate': 0.05}"
rf,RandomForestRegressor,54.23379284645128,-19340.916086394027,9536.988778052908,0.04456874506884155,0.9891567493077861,"{'max_depth': 30, 'n_estimators': 700}"
gb,GradientBoostingRegressor,69.42442336398851,-11703.630681553288,12634.888333294237,0.058126285353609995,0.9856345367647577,"{'learning_rate': 0.01, 'max_depth': 5}"
ridge,Ridge,116.0154285368845,-15404.421947775518,32882.323831810645,0.10132757054167334,0.962613851295348,{'alpha': 0.1}
linear,LinearRegression,116.46180933431249,-15246.19484670031,33167.865581623075,0.10157197137246465,0.9622891994740693,{}
lasso,Lasso,119.95276927566486,-28459.746900046892,35421.146708692126,0.10439625282253778,0.9597272910237763,{'alpha': 0.005}
