model,class_name,r2,rmse,mae,mape,params
gb,GradientBoostingRegressor,0.9967935146579193,9.355276939124183e-06,0.002215673151491551,0.02403590213682783,"{'learning_rate': 0.1, 'loss': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'min_samples_split': 20, 'n_estimators': 2000, 'warm_start': True}"
linear,LinearRegression,0.8642097132911666,0.00039618323562329554,0.011414739856858215,0.11769617848049096,{}
ridge,Ridge,0.8530337922212626,0.00042879022598954475,0.011358686662954491,0.11711303989795646,{'alpha': 0.01}
lasso,Lasso,0.20087573273388015,0.0023315337609489803,0.015351236538149963,0.14903979982965065,{'alpha': 0.01}
