set,Draught..m._count,Draught..m._mean,Draught..m._std,Speed..knots._count,Speed..knots._mean,Speed..knots._std,ME_W_ref_first_count,ME_W_ref_first_mean,ME_W_ref_first_std,cal_fc_count,cal_fc_mean,cal_fc_std,rel_power_ship_sum_count,rel_power_ship_sum_mean,rel_power_ship_sum_std,rel_power_ship_squared_sum_count,rel_power_ship_squared_sum_mean,rel_power_ship_squared_sum_std,rel_power_ship_cubed_sum_count,rel_power_ship_cubed_sum_mean,rel_power_ship_cubed_sum_std,ME_SFC_base_first_count,ME_SFC_base_first_mean,ME_SFC_base_first_std
Test,535,16.008878504672897,1.8534391189376154,535,14.342841121495328,0.7900081560942066,535,13936.457943925234,3590.4766563066055,535,1972.2020632210335,1454.5247471938098,535,543.614164420772,357.99911383350815,535,317.4527348679979,283.8234010354777,535,293.75399462692553,496.61564070901056,535,175.13084112149534,1.9787452619751271
Training,1607,11.671841941505912,1.6592842212629564,1607,14.051144990665836,0.7969069617054924,1607,8173.2426882389545,1996.960217850108,1607,1302.9524096953096,1189.1750009068144,1607,622.4130954669643,472.46893015058674,1607,407.0029940509426,414.6642227519262,1607,377.2448382873487,689.9589027177202,1607,176.08898568761668,3.546021488609163
