"model","mae","te","mse","mape","r2","class_name","params"
"rf",67.8294708716347,5359.34959447489,11478.2795163745,0.053711129827622,0.986804459439746,"RandomForestRegressor","{'max_depth': 10, 'n_estimators': 700}"
"gb",104.15163418845,6705.78359762381,26259.7217129214,0.082765204259466,0.969811571283874,"GradientBoostingRegressor","{'learning_rate': 0.005, 'max_depth': 3}"
"cb",106.378987135428,8070.77707689352,28256.0792013448,0.081545122266155,0.967516539508974,"CatBoostRegressor","{'learning_rate': 0.01, 'depth': 8, 'l2_leaf_reg': 7}"
"linear",135.167876542782,13086.9746053724,46775.1679288774,0.105306847807913,0.946226816942583,"LinearRegression","{}"
"ridge",138.057041032899,14840.7414337492,47939.9698707032,0.107069980568122,0.944887749424137,"Ridge","{'alpha': 100}"
"lasso",158.876950367936,20080.210684731,61871.8988685486,0.12156388238536,0.928871469814341,"Lasso","{'alpha': 0.005}"
"eng",265.390220070125,43568.3326546733,324343.082912622,0.185286402712098,0.627132071500274,"Calculation",
