dataset,t_m_v_n_rel_sum_count,t_m_v_n_rel_sum_mean,t_m_v_n_rel_sum_std,t_m_v_n_rel_squared_sum_count,t_m_v_n_rel_squared_sum_mean,t_m_v_n_rel_squared_sum_std,t_m_v_n_rel_cubed_sum_count,t_m_v_n_rel_cubed_sum_mean,t_m_v_n_rel_cubed_sum_std
Test,536,446.75870928194973,322.45655972937766,536,3687386.660297249,3290700.177242933,536,57875530894.71764,108955365795.09735
Training,1606,683.4468718875415,484.2170932028947,1606,6584661.49233441,5297663.368469645,1606,89810129792.21487,128831466374.58025
