model,class_name,mae,te,mse,mape,r2,params
linear,LinearRegression,0.00011809231031950129,-8.00320130593668e-06,2.9960709463681654e-08,0.1577141713299681,0.9117716970913646,{}
linearstruct,LinearRegression,0.0001185463765788137,-0.006989014272552726,3.0545408734284694e-08,0.14873137046023766,0.9100498745684449,{'fit_intercept': False}
