,cb,gb,lasso,linear,rf,ridge,mean,sd
distance_sum,1,1,1,3,1,1,1.3333333333333333,0.7453559924999298
GT,3,3,2,6,3,2,3.1666666666666665,1.343709624716425
LOA..m.,2,2,5,5,2,10,4.333333333333333,2.8674417556808756
HP.Total.Propulsion,8,8,3,8,4,4,5.833333333333333,2.1921577396609844
draught_mean,4,4,7,12,6,8,6.833333333333333,2.733536577809454
Dwt,6,6,11,7,9,3,7.0,2.516611478423583
ME_W_ref_first,5,5,11,10,5,9,7.5,2.565800719723442
cubic_meter,9,14,11,1,8,6,8.166666666666666,4.058598553961973
Depth.Moulded..m.,7,12,11,2,7,13,8.666666666666666,3.7712361663282534
Beam.Mld..m.,12,10,4,4,12,11,8.833333333333334,3.4840908267278117
speed_mean,13,7,6,11,11,5,8.833333333333334,2.9674156357941426
NT,10,11,11,9,10,7,9.666666666666666,1.3743685418725535
Main.Bunker.Capacity..m3.,11,9,8,13,13,12,11.0,1.9148542155126762
LDT,14,13,11,14,14,14,13.333333333333334,1.1055415967851334
