model,2019,2020,2021
cb,676524.98235245,808515.7945028665,828526.4584262706
eng,659697.6941495999,802541.85815121,879497.2336886304
gb,671530.7199140368,816644.720203015,848356.1303992618
lasso,665785.4395269116,828454.9297670099,838900.084504429
linear,666094.9894865833,820212.9287498752,835508.4125411378
report,676405.22,803348.83,857909.68
rf,676083.4832403939,811594.9924606031,835572.8815251666
ridge,653776.2972498361,815139.5340409763,829344.9855863675
