,gb,lasso,linear,ridge,mean,sd
t_m_times_v_n_sum,2,1,2,1,1.5,0.5
distance_sum,6,3,1,2,3.0,1.8708286933869707
HP.Total.Propulsion,1,2,6,4,3.25,1.920286436967152
W_component_first,3,4,8,6,5.25,1.920286436967152
NT,13,5,3,3,6.0,4.123105625617661
work_sum,4,17,7,5,8.25,5.165994579942956
missing_frac_sea,8,7,14,14,10.75,3.2691742076555053
t_over_t_ref_without_m_sum,5,6,17,17,11.25,5.7608593109014565
v_over_v_ref_without_n_sum,10,17,10,9,11.5,3.2015621187164243
age,7,8,16,16,11.75,4.264680527307995
LOA..m.,19,17,4,7,11.75,6.378675411086537
LBP..m.,20,17,5,8,12.5,6.18465843842649
Dwt,14,17,9,10,12.5,3.2015621187164243
port_frac,9,9,18,19,13.75,4.763139720814412
trip_nunique,15,10,15,15,13.75,2.165063509461097
Beam.Mld..m.,18,11,13,13,13.75,2.5860201081971503
Draught..m.,17,17,11,11,14.0,3.0
Size.Category,21,17,12,12,15.5,3.774917217635375
Speed..knots.,11,17,19,18,16.25,3.112474899497183
longest_jump,12,12,21,21,16.5,4.5
TPC,16,17,20,20,18.25,1.7853571071357126
